"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Mercedes-Benz EQS SUV (X296) 500 4MATIC","","Eléctricos puros","M1","3410","22.8","330.0","689.0","118.0"
"Mercedes-Benz EQS SUV (X296) 580 4MATIC","","Eléctricos puros","M1","3410","22.8","400.0","689.0","118.0"
"Mercedes-Benz EQT EQT","","Eléctricos puros","M1","2390","19.4","90.0","278.0","45.0"
"Mercedes-Benz EQV (03.2024) EQV 250 Extralargo","","Eléctricos puros","M1","3200","27.4","150.0","244.0","90.0"
"Mercedes-Benz EQV (03.2024) EQV 250 Largo","","Eléctricos puros","M1","3200","27.1","150.0","247.0","90.0"
"Mercedes-Benz EQV (03.2024) EQV 300 Largo","","Eléctricos puros","M1","3200","27.1","150.0","365.0","90.0"
"Mercedes-Benz EQV EQV 250 Extralargo e66","","Eléctricos puros","M1","3500","28.3","150.0","230.0","66.0"
"Mercedes-Benz EQV EQV 250 Largo e66","","Eléctricos puros","M1","3500","28.1","150.0","231.0","66.0"
"Mercedes-Benz EQV EQV 300 Extralarga","","Eléctricos puros","M1","3500","28.3","70.0","353.0","100.0"
"Mercedes-Benz EQV EQV 300 Larga","","Eléctricos puros","M1","3500","28.2","70.0","355.0","100.0"
"Mercedes-Benz eSprinter eSprinter 312 Furgón Medio T.E.","","Eléctricos puros","N1","3500","35.2","85.0","156.0","55.0"
"Mercedes-Benz eVITO eVito 126 Tourer Pro Extralarga e66","","Eléctricos puros","M1","3500","27.8","150.0","233.0","60.0"
"Mercedes-Benz eVITO eVito 126 Tourer Pro Larga e66","","Eléctricos puros","M1","3500","27.7","150.0","234.0","60.0"
"Mercedes-Benz eVITO eVito 129 Tourer Pro Extralarga 3500","","Eléctricos puros","M1","3500","27.8","70.0","360.0","100.0"
"Mercedes-Benz eVITO eVito 129 Tourer Pro Larga 3500","","Eléctricos puros","M1","3500","27.7","70.0","361.0","100.0"
"Mercedes-Benz eVITO eVito Furgón 112 Extralarga 2800","","Eléctricos puros","N1","2800","22.0","85.0","306.0","60.0"
