"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Hyundai New i20 5P TGDI 1.0 100CV 48V SLX","","Híbridos de gasolina","M1","1640","","12.2","",""
"Hyundai New i20 5P TGDI 1.0 100CV 48V TECNO 2C","","Híbridos de gasolina","M1","1620","","12.2","",""
"Hyundai New i20 5P TGDI 1.0 100CV DT SLX","","Gasolina","M1","1640","","","",""
"Hyundai New i20 5P TGDI 1.0 100CV KLASS","","Gasolina","M1","1600","","","",""
"Hyundai New i20 5P TGDI 1.0 100CV SLX","","Gasolina","M1","1610","","","",""
"Hyundai New i20 5P TGDI 1.0 100CV TECNO","","Gasolina","M1","1600","","","",""
"Hyundai New i20 5P TGDI 1.0 120CV 48V DT N LINE X","","Híbridos de gasolina","M1","1660","","12.2","",""
"Hyundai New i20 5P TGDI 1.0 120CV 48V DT NLINE X","","Híbridos de gasolina","M1","1660","","12.0","",""
"Hyundai New i20 5P TGDI 1.0 120CV 48V DT STYLE2C","","Híbridos de gasolina","M1","1650","","12.2","",""
"Hyundai New i20 5P TGDI 1.0 120CV 48V DT STYLUX","","Híbridos de gasolina","M1","1650","","12.0","",""
"Hyundai NEXO 5P FCEV 120KW 4X2 STYLE","","Pila de combustible","M1","2340","","120.0","","1.5"
"Hyundai S.FE TM CRDI 2.2 194CV 4X4 DCT STYLE","","Gasóleo","M1","2600","","","",""
"Hyundai S.FE TM CRDI 2.2 194CV 4X4 DCT TECNO","","Gasóleo","M1","2600","","","",""
"Hyundai S.FE TM CRDI 2.2 194CV DCT KLASS","","Gasóleo","M1","2550","","","",""
"Hyundai S.FE TM CRDI 2.2 194CV DCT MAXX","","Gasóleo","M1","2550","","","",""
"Hyundai S.FE TM CRDI 2.2 194CV DCT TECNO","","Gasóleo","M1","2550","","","",""
"Hyundai S.FE TM CRDI 2.2 200CV 4X4 DCT STYLE","","Gasóleo","M1","2600","","","",""
"Hyundai S.FE TM CRDI 2.2 200CV 4X4 DCT TECNO","","Gasóleo","M1","2600","","","",""
"Hyundai S.FE TM CRDI 2.2 200CV DCT KLASS","","Gasóleo","M1","2550","","","",""
"Hyundai S.FE TM CRDI 2.2 200CV DCT MAXX","","Gasóleo","M1","2550","","","",""
"Hyundai S.FE TM CRDI 2.2 200CV DCT TECNO","","Gasóleo","M1","2550","","","",""
"Hyundai S.FE TM HEV TGDI 1.6 230CV 4X4 AT STYLE","","Híbridos de gasolina","M1","2630","","44.0","","1.5"
"Hyundai S.FE TM HEV TGDI 1.6 230CV 4X4 AT TECNO","","Híbridos de gasolina","M1","2630","","44.2","","1.5"
"Hyundai S.FE TM HEV TGDI 1.6 230CV AT KLASS","","Híbridos de gasolina","M1","2580","","44.0","","1.5"
"Hyundai S.FE TM HEV TGDI 1.6 230CV AT MAXX","","Híbridos de gasolina","M1","2580","","44.0","","1.5"
"Hyundai S.FE TM HEV TGDI 1.6 230CV AT TECNO","","Híbridos de gasolina","M1","2580","","44.0","","1.5"
"Hyundai S.FE TM PHEV TGDI 1.6 265CV 4X4 AT MAXX","","Híbridos enchufables","M1","2690","18.1","66.0","58.0","13.8"
"Hyundai S.FE TM PHEV TGDI 1.6 265CV 4X4 AT STYLE","","Híbridos enchufables","M1","2690","18.1","66.9","58.0","13.8"
